Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,WD,WD10S12X-55JTET0 1TB,341,48.2,445,https://hdd.userbenchmark.com/SpeedTest/12098/WDC-WD10S12X-55JTET0
HDD,,Samsung,HD153WI 1.5TB,342,48.2,638,https://hdd.userbenchmark.com/SpeedTest/1489/SAMSUNG-HD153WI
HDD,,Seagate,ST3320613AS 320GB,343,48.2,9665,https://hdd.userbenchmark.com/SpeedTest/1722/ST3320613AS
HDD,ST1000LM014,Seagate,Laptop SSHD 2.5" 1TB,344,48.2,40377,https://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--1TB/Rating/1804
HDD,,Seagate,ST3750528AS 750GB,345,48.2,14142,https://hdd.userbenchmark.com/SpeedTest/1714/ST3750528AS
HDD,WD5000BPKX,WD,Black 2.5" 500GB (2013),346,48.1,2564,https://hdd.userbenchmark.com/SpeedTest/3355/WDC-WD5000BPKX-75HPJT0
HDD,,Seagate,ST31000322CS 1TB,347,48.1,1710,https://hdd.userbenchmark.com/SpeedTest/6933/ST31000322CS
HDD,WD5000BPKT,WD,Black 2.5" 500GB (2011),348,48,6514,https://hdd.userbenchmark.com/SpeedTest/2036/WDC-WD5000BPKT-60PK4T0
HDD,,Maxtor,STM3320613AS 320GB,349,48,1806,https://hdd.userbenchmark.com/SpeedTest/4882/MAXTOR-STM3320613AS
HDD,,Maxtor,S TM3320613AS 320GB,350,48,142,https://hdd.userbenchmark.com/SpeedTest/10528/MAXTOR-S-TM3320613AS
HDD,ST1000LX015,Seagate,FireCuda 2.5" 1TB,351,47.7,53111,https://hdd.userbenchmark.com/SpeedTest/193028/ST1000LX015-1U7172
HDD,HM640JJ,Samsung,Spinpoint MP4 2.5" 640GB,352,47.7,504,https://hdd.userbenchmark.com/SpeedTest/2214/SAMSUNG-HM640JJ
HDD,ST500LX005,Seagate,SSHD 500GB,353,47.7,136,https://hdd.userbenchmark.com/SpeedTest/5338/ST500LX005-1CW162
HDD,HD103UJ,Samsung,Spinpoint F1 1TB,354,47.5,37196,https://hdd.userbenchmark.com/SpeedTest/413/SAMSUNG-HD103UJ
HDD,,Hitachi,HDS5C1010CLA382 1TB,355,47.5,1441,https://hdd.userbenchmark.com/SpeedTest/1569/Hitachi-HDS5C1010CLA382
HDD,,Seagate,ST3750330NS 750GB,356,47.5,632,https://hdd.userbenchmark.com/SpeedTest/8704/ST3750330NS
HDD,,,VB0250EAVER 250GB,357,47.5,1019,https://hdd.userbenchmark.com/SpeedTest/1098/VB0250EAVER
HDD,,Samsung,HM250HJ 250GB,358,47.4,283,https://hdd.userbenchmark.com/SpeedTest/11688/SAMSUNG-HM250HJ
